,,,,,,,,
,,,,,,,,
,Case ID,"Background
Match",Model A,Model B,,,,
,1581,NO,0.911,0.335,,,,
,1582,NO,0.912,0.337,,,,
,1583,NO,0.912,0.431,,,,
,1584,NO,0.926,0.301,,,,
,1585,YES,0.988,0.864,,,,
,1586,NO,0.909,0.387,,,,
,1587,NO,0.909,0.288,,,,
,1588,NO,0.915,0.472,,,,
,1589,NO,0.916,0.395,,,,
,1590,YES,0.981,0.838,,,,
,1591,YES,0.982,0.872,,,,
,1592,NO,0.911,0.408,,,,
,1593,NO,0.910,0.483,,,,
,1594,NO,0.911,0.420,,,,
,1595,NO,0.923,0.418,,,,
,1596,NO,0.917,0.352,,,,
,1597,NO,0.913,0.409,,,,
,1598,YES,0.910,0.822,,,,
,1599,YES,0.983,0.844,,,,
,1600,NO,0.911,0.294,,,,
,1602,YES,0.978,0.858,,,,
,1603,YES,0.978,0.862,,,,
,1604,NO,0.976,0.886,,,,
,1605,YES,0.976,0.873,,,,
,1606,YES,0.976,0.859,,,,
,1607,YES,0.976,0.875,,,,
,1608,YES,0.975,0.863,,,,
,1609,NO,0.975,0.866,,,,
,1610,YES,0.975,0.881,,,,
,1611,NO,0.901,0.181,,,,
,1612,NO,0.901,0.165,,,,
,1613,NO,0.902,0.150,,,,
,1614,NO,0.901,0.211,,,,
,1615,YES,0.966,0.910,,,,
,1616,NO,0.901,0.319,,,,
,1617,NO,0.898,0.166,,,,
,1618,NO,0.916,0.385,,,,
,1619,NO,0.899,0.156,,,,
,1620,NO,0.898,0.192,,,,
,1621,NO,0.903,0.194,,,,
,1622,NO,0.901,0.197,,,,
,1623,NO,0.898,0.197,,,,
,1624,NO,0.902,0.141,,,,
,1625,NO,0.904,0.263,,,,
,1626,NO,0.903,0.249,,,,
,1627,NO,0.898,0.182,,,,
,1628,NO,0.897,0.212,,,,
,1629,NO,0.910,0.246,,,,
,1630,NO,0.919,0.207,,,,
,1631,NO,0.897,0.211,,,,
,1632,NO,0.902,0.173,,,,
,1633,NO,0.906,0.246,,,,
,1634,NO,0.925,0.188,,,,
,1635,NO,0.900,0.268,,,,
,1636,NO,0.900,0.169,,,,
,1637,NO,0.901,0.206,,,,
,1638,NO,0.916,0.348,,,,
,1639,NO,0.904,0.220,,,,
,1640,NO,0.899,0.183,,,,
,1642,NO,0.938,0.433,,,,
,1643,NO,0.938,0.347,,,,
,1644,NO,0.937,0.565,,,,
,1645,NO,0.936,0.423,,,,
,1646,NO,0.935,0.244,,,,
,1647,NO,0.935,0.370,,,,
,1648,NO,0.935,0.363,,,,
,1649,NO,0.935,0.307,,,,
,1650,NO,0.934,0.314,,,,
,1651,NO,0.912,0.271,,,,
,1652,NO,0.911,0.341,,,,
,1653,NO,0.909,0.417,,,,
,1654,NO,0.917,0.310,,,,
,1655,NO,0.917,0.194,,,,
,1656,NO,0.911,0.360,,,,
,1657,NO,0.910,0.233,,,,
,1658,NO,0.920,0.263,,,,
,1659,NO,0.916,0.342,,,,
,1660,NO,0.910,0.397,,,,
,1661,NO,0.911,0.463,,,,
,1662,NO,0.917,0.348,,,,
,1663,NO,0.914,0.312,,,,
,1664,NO,0.910,0.265,,,,
,1665,NO,0.918,0.335,,,,
,1666,NO,0.917,0.391,,,,
,1667,NO,0.912,0.298,,,,
,1668,NO,0.918,0.301,,,,
,1669,NO,0.914,0.326,,,,
,1670,NO,0.915,0.243,,,,
,1671,NO,0.913,0.312,,,,
,1672,NO,0.911,0.276,,,,
,1673,NO,0.911,0.360,,,,
,1674,NO,0.911,0.356,,,,
,1675,NO,0.914,0.306,,,,
,1676,NO,0.919,0.362,,,,
,1677,NO,0.914,0.336,,,,
,1678,NO,0.917,0.321,,,,
,1679,NO,0.914,0.335,,,,
,1680,NO,0.915,0.452,,,,
,1682,YES,1.000,0.995,,,,
,1683,YES,1.000,0.966,,,,
,1684,YES,1.000,0.987,,,,
,1685,YES,1.000,0.988,,,,
,1686,YES,1.000,0.989,,,,
,1687,YES,1.000,0.994,,,,
,1688,YES,1.000,0.985,,,,
,1689,YES,1.000,0.988,,,,
,1690,YES,1.000,0.993,,,,
,1691,NO,0.902,0.273,,,,
,1692,NO,0.907,0.352,,,,
,1693,NO,0.903,0.443,,,,
,1694,NO,0.904,0.335,,,,
,1695,NO,0.905,0.320,,,,
,1696,YES,0.985,0.927,,,,
,1697,YES,0.981,0.907,,,,
,1698,NO,0.911,0.411,,,,
,1699,NO,0.903,0.458,,,,
,1700,NO,0.910,0.404,,,,
,1701,NO,0.903,0.554,,,,
,1702,NO,0.903,0.340,,,,
,1703,YES,0.999,0.994,,,,
,1704,NO,0.903,0.433,,,,
,1705,NO,0.910,0.397,,,,
,1706,NO,0.903,0.383,,,,
,1707,NO,0.904,0.476,,,,
,1708,NO,0.912,0.457,,,,
,1709,NO,0.912,0.293,,,,
,1710,NO,0.904,0.400,,,,
,1711,NO,0.905,0.487,,,,
,1712,NO,0.903,0.465,,,,
,1713,YES,0.999,0.986,,,,
,1714,NO,0.908,0.397,,,,
,1715,NO,0.908,0.248,,,,
,1716,NO,0.910,0.539,,,,
,1717,NO,0.905,0.380,,,,
,1718,NO,0.903,0.511,,,,
,1719,YES,0.984,0.905,,,,
,1720,YES,0.969,0.915,,,,
,1722,NO,0.955,0.329,,,,
,1723,NO,0.952,0.507,,,,
,1724,NO,0.951,0.294,,,,
,1725,NO,0.951,0.437,,,,
,1726,NO,0.951,0.492,,,,
,1727,NO,0.950,0.452,,,,
,1728,NO,0.950,0.309,,,,
,1729,NO,0.949,0.425,,,,
,1730,NO,0.949,0.481,,,,
,1731,NO,0.925,0.406,,,,
,1732,NO,0.929,0.267,,,,
,1733,NO,0.927,0.346,,,,
,1734,NO,0.935,0.390,,,,
,1735,NO,0.927,0.314,,,,
,1736,NO,0.924,0.345,,,,
,1737,NO,0.934,0.489,,,,
,1738,NO,0.929,0.398,,,,
,1739,NO,0.928,0.220,,,,
,1740,NO,0.925,0.418,,,,
,1741,NO,0.924,0.283,,,,
,1742,NO,0.928,0.435,,,,
,1743,NO,0.946,0.280,,,,
,1744,NO,0.929,0.364,,,,
,1745,NO,0.926,0.200,,,,
,1746,NO,0.925,0.291,,,,
,1747,NO,0.937,0.327,,,,
,1748,NO,0.928,0.317,,,,
,1749,NO,0.925,0.258,,,,
,1750,NO,0.927,0.236,,,,
,1751,NO,0.927,0.332,,,,
,1752,NO,0.929,0.321,,,,
,1753,NO,0.937,0.435,,,,
,1754,NO,0.925,0.202,,,,
,1755,NO,0.925,0.416,,,,
,1756,NO,0.928,0.463,,,,
,1757,NO,0.929,0.353,,,,
,1758,NO,0.929,0.169,,,,
,1759,NO,0.924,0.413,,,,
,1760,NO,0.931,0.357,,,,
,1762,NO,0.965,0.484,,,,
,1763,NO,0.964,0.412,,,,
,1764,NO,0.963,0.426,,,,
,1765,NO,0.963,0.379,,,,
,1766,NO,0.962,0.386,,,,
,1767,NO,0.961,0.461,,,,
,1768,NO,0.961,0.348,,,,
,1769,NO,0.961,0.338,,,,
,1770,NO,0.961,0.494,,,,
,1771,NO,0.958,0.369,,,,
,1772,NO,0.945,0.345,,,,
,1773,NO,0.945,0.482,,,,
,1774,NO,0.949,0.301,,,,
,1775,NO,0.944,0.286,,,,
,1776,NO,0.943,0.528,,,,
,1777,NO,0.944,0.526,,,,
,1778,NO,0.944,0.252,,,,
,1779,NO,0.950,0.453,,,,
,1780,NO,0.945,0.329,,,,
,1781,NO,0.945,0.424,,,,
,1782,NO,0.944,0.420,,,,
,1783,NO,0.944,0.502,,,,
,1784,NO,0.944,0.302,,,,
,1785,NO,0.945,0.240,,,,
,1786,NO,0.943,0.426,,,,
,1787,NO,0.943,0.485,,,,
,1788,NO,0.945,0.295,,,,
,1789,NO,0.945,0.513,,,,
,1790,NO,0.945,0.334,,,,
,1791,NO,0.943,0.334,,,,
,1792,NO,0.956,0.367,,,,
,1793,NO,0.950,0.389,,,,
,1794,NO,0.942,0.479,,,,
,1795,NO,0.948,0.454,,,,
,1796,NO,0.944,0.474,,,,
,1797,NO,0.946,0.292,,,,
,1798,NO,0.944,0.515,,,,
,1799,NO,0.946,0.244,,,,
,1800,NO,0.945,0.324,,,,
,1802,NO,0.957,0.607,,,,
,1803,NO,0.956,0.470,,,,
,1804,NO,0.954,0.395,,,,
,1805,NO,0.952,0.445,,,,
,1806,NO,0.952,0.550,,,,
,1807,NO,0.952,0.591,,,,
,1808,NO,0.952,0.285,,,,
,1809,NO,0.951,0.466,,,,
,1810,NO,0.950,0.481,,,,
,1811,NO,0.942,0.620,,,,
,1812,NO,0.931,0.440,,,,
,1813,NO,0.938,0.496,,,,
,1814,NO,0.932,0.415,,,,
,1815,NO,0.928,0.298,,,,
,1816,NO,0.934,0.447,,,,
,1817,NO,0.933,0.403,,,,
,1818,NO,0.939,0.474,,,,
,1819,NO,0.931,0.609,,,,
,1820,NO,0.928,0.375,,,,
,1821,NO,0.932,0.491,,,,
,1822,NO,0.929,0.390,,,,
,1823,NO,0.932,0.421,,,,
,1824,NO,0.930,0.374,,,,
,1825,NO,0.929,0.415,,,,
,1826,NO,0.927,0.513,,,,
,1827,NO,0.936,0.523,,,,
,1828,NO,0.929,0.360,,,,
,1829,NO,0.927,0.498,,,,
,1830,NO,0.936,0.429,,,,
,1831,NO,0.932,0.329,,,,
,1832,NO,0.931,0.402,,,,
,1833,NO,0.928,0.362,,,,
,1834,NO,0.928,0.665,,,,
,1835,NO,0.929,0.419,,,,
,1836,NO,0.930,0.449,,,,
,1837,NO,0.930,0.462,,,,
,1838,NO,0.934,0.475,,,,
,1839,NO,0.932,0.286,,,,
,1840,NO,0.933,0.353,,,,
,1842,NO,0.961,0.293,,,,
,1843,NO,0.961,0.338,,,,
,1844,NO,0.959,0.283,,,,
,1845,NO,0.958,0.438,,,,
,1846,NO,0.958,0.324,,,,
,1847,NO,0.958,0.336,,,,
,1848,NO,0.957,0.775,,,,
,1849,NO,0.956,0.267,,,,
,1850,NO,0.956,0.860,,,,
,1851,NO,0.939,0.543,,,,
,1852,NO,0.938,0.406,,,,
,1853,NO,0.937,0.358,,,,
,1854,NO,0.938,0.464,,,,
,1855,NO,0.938,0.333,,,,
,1856,NO,0.944,0.269,,,,
,1857,NO,0.942,0.311,,,,
,1858,NO,0.938,0.461,,,,
,1859,NO,0.938,0.329,,,,
,1860,NO,0.941,0.731,,,,
,1861,NO,0.938,0.361,,,,
,1862,NO,0.945,0.319,,,,
,1863,NO,0.938,0.174,,,,
,1864,NO,0.938,0.454,,,,
,1865,NO,0.940,0.695,,,,
,1866,NO,0.939,0.609,,,,
,1867,NO,0.945,0.747,,,,
,1868,NO,0.945,0.539,,,,
,1869,NO,0.941,0.352,,,,
,1870,NO,0.940,0.572,,,,
,1871,NO,0.938,0.557,,,,
,1872,NO,0.939,0.357,,,,
,1873,NO,0.948,0.430,,,,
,1874,NO,0.940,0.374,,,,
,1875,NO,0.943,0.351,,,,
,1876,NO,0.938,0.434,,,,
,1877,NO,0.945,0.245,,,,
,1878,NO,0.939,0.386,,,,
,1879,NO,0.943,0.397,,,,
,1880,NO,0.941,0.340,,,,
,1882,NO,0.962,0.524,,,,
,1883,NO,0.958,0.322,,,,
,1884,NO,0.955,0.579,,,,
,1885,NO,0.955,0.504,,,,
,1886,NO,0.955,0.585,,,,
,1887,NO,0.954,0.439,,,,
,1888,NO,0.954,0.646,,,,
,1889,NO,0.953,0.380,,,,
,1890,NO,0.953,0.450,,,,
,1891,NO,0.952,0.387,,,,
,1892,NO,0.934,0.434,,,,
,1893,NO,0.940,0.456,,,,
,1894,NO,0.936,0.451,,,,
,1895,NO,0.941,0.536,,,,
,1896,NO,0.939,0.510,,,,
,1897,NO,0.938,0.389,,,,
,1898,NO,0.937,0.316,,,,
,1899,NO,0.935,0.531,,,,
,1900,NO,0.940,0.437,,,,
,1901,NO,0.942,0.466,,,,
,1902,NO,0.940,0.399,,,,
,1903,NO,0.939,0.413,,,,
,1904,NO,0.938,0.441,,,,
,1905,NO,0.935,0.457,,,,
,1906,NO,0.935,0.420,,,,
,1907,NO,0.935,0.380,,,,
,1908,NO,0.935,0.428,,,,
,1909,NO,0.935,0.544,,,,
,1910,NO,0.938,0.329,,,,
,1911,NO,0.936,0.449,,,,
,1912,NO,0.938,0.422,,,,
,1913,NO,0.935,0.396,,,,
,1914,NO,0.941,0.494,,,,
,1915,NO,0.937,0.332,,,,
,1916,NO,0.937,0.442,,,,
,1917,NO,0.939,0.483,,,,
,1918,NO,0.943,0.519,,,,
,1919,NO,0.938,0.408,,,,
,1920,NO,0.937,0.328,,,,
,1922,NO,0.968,0.509,,,,
,1923,NO,0.967,0.661,,,,
,1924,NO,0.964,0.546,,,,
,1925,NO,0.963,0.514,,,,
,1926,NO,0.961,0.332,,,,
,1927,NO,0.961,0.457,,,,
,1928,NO,0.961,0.303,,,,
,1929,NO,0.961,0.627,,,,
,1930,NO,0.961,0.381,,,,
,1931,NO,0.940,0.680,,,,
,1932,NO,0.948,0.464,,,,
,1933,NO,0.949,0.417,,,,
,1934,NO,0.943,0.659,,,,
,1935,NO,0.946,0.437,,,,
,1936,NO,0.941,0.458,,,,
,1937,NO,0.954,0.566,,,,
,1938,NO,0.943,0.418,,,,
,1939,NO,0.955,0.698,,,,
,1940,NO,0.949,0.361,,,,
,1941,NO,0.949,0.414,,,,
,1942,NO,0.942,0.505,,,,
,1943,NO,0.950,0.513,,,,
,1944,NO,0.943,0.686,,,,
,1945,NO,0.941,0.433,,,,
,1946,NO,0.940,0.648,,,,
,1947,NO,0.942,0.630,,,,
,1948,NO,0.941,0.539,,,,
,1949,NO,0.948,0.645,,,,
,1950,NO,0.942,0.177,,,,
,1951,NO,0.947,0.618,,,,
,1952,NO,0.940,0.477,,,,
,1953,NO,0.941,0.391,,,,
,1954,NO,0.950,0.227,,,,
,1955,NO,0.946,0.401,,,,
,1956,NO,0.945,0.370,,,,
,1957,NO,0.942,0.483,,,,
,1958,NO,0.945,0.321,,,,
,1959,NO,0.942,0.382,,,,
,1960,NO,0.950,0.492,,,,
,1962,NO,0.960,0.507,,,,
,1963,NO,0.958,0.508,,,,
,1964,NO,0.958,0.599,,,,
,1965,NO,0.957,0.603,,,,
,1966,NO,0.955,0.396,,,,
,1967,NO,0.954,0.397,,,,
,1968,NO,0.954,0.363,,,,
,1969,NO,0.953,0.489,,,,
,1970,NO,0.953,0.437,,,,
,1971,NO,0.927,0.456,,,,
,1972,NO,0.925,0.444,,,,
,1973,NO,0.937,0.573,,,,
,1974,NO,0.943,0.529,,,,
,1975,NO,0.926,0.311,,,,
,1976,NO,0.926,0.369,,,,
,1977,NO,0.941,0.511,,,,
,1978,NO,0.928,0.261,,,,
,1979,NO,0.927,0.542,,,,
,1980,NO,0.932,0.443,,,,
,1981,NO,0.937,0.419,,,,
,1982,NO,0.926,0.406,,,,
,1983,NO,0.925,0.382,,,,
,1984,NO,0.926,0.521,,,,
,1985,NO,0.932,0.304,,,,
,1986,NO,0.925,0.227,,,,
,1987,NO,0.943,0.342,,,,
,1988,NO,0.924,0.573,,,,
,1989,NO,0.933,0.538,,,,
,1990,NO,0.926,0.496,,,,
,1991,NO,0.935,0.452,,,,
,1992,NO,0.933,0.503,,,,
,1993,NO,0.928,0.333,,,,
,1994,NO,0.928,0.434,,,,
,1995,NO,0.927,0.314,,,,
,1996,NO,0.930,0.500,,,,
,1997,NO,0.927,0.262,,,,
,1998,NO,0.931,0.459,,,,
,1999,NO,0.935,0.308,,,,
,2000,NO,0.945,0.616,,,,
,2002,NO,0.953,0.371,,,,
,2003,NO,0.946,0.433,,,,
,2004,NO,0.944,0.419,,,,
,2005,NO,0.943,0.395,,,,
,2006,NO,0.943,0.397,,,,
,2007,NO,0.943,0.405,,,,
,2008,NO,0.942,0.400,,,,
,2009,NO,0.942,0.378,,,,
,2010,NO,0.942,0.438,,,,
,2011,NO,0.912,0.275,,,,
,2012,NO,0.913,0.313,,,,
,2013,NO,0.913,0.434,,,,
,2014,NO,0.911,0.354,,,,
,2015,NO,0.914,0.430,,,,
,2016,NO,0.917,0.412,,,,
,2017,NO,0.928,0.327,,,,
,2018,NO,0.915,0.422,,,,
,2019,NO,0.915,0.379,,,,
,2020,NO,0.909,0.402,,,,
,2021,NO,0.922,0.564,,,,
,2022,NO,0.911,0.328,,,,
,2023,NO,0.915,0.474,,,,
,2024,NO,0.920,0.454,,,,
,2025,NO,0.927,0.282,,,,
,2026,NO,0.918,0.468,,,,
,2027,NO,0.918,0.261,,,,
,2028,NO,0.916,0.310,,,,
,2029,NO,0.916,0.304,,,,
,2030,NO,0.917,0.280,,,,
,2031,NO,0.916,0.439,,,,
,2032,NO,0.921,0.347,,,,
,2033,NO,0.914,0.315,,,,
,2034,NO,0.911,0.322,,,,
,2035,NO,0.919,0.350,,,,
,2036,NO,0.913,0.435,,,,
,2037,NO,0.924,0.322,,,,
,2038,NO,0.910,0.530,,,,
,2039,NO,0.911,0.384,,,,
,2040,NO,0.918,0.314,,,,
,2042,NO,0.969,0.574,,,,
,2043,NO,0.967,0.775,,,,
,2044,NO,0.967,0.853,,,,
,2045,NO,0.966,0.606,,,,
,2046,NO,0.966,0.828,,,,
,2047,NO,0.965,0.701,,,,
,2048,NO,0.964,0.698,,,,
,2049,NO,0.964,0.715,,,,
,2050,NO,0.964,0.634,,,,
,2051,NO,0.946,0.409,,,,
,2052,NO,0.948,0.443,,,,
,2053,NO,0.945,0.431,,,,
,2054,NO,0.951,0.488,,,,
,2055,NO,0.947,0.586,,,,
,2056,NO,0.944,0.424,,,,
,2057,NO,0.946,0.350,,,,
,2058,NO,0.947,0.333,,,,
,2059,NO,0.945,0.438,,,,
,2060,NO,0.949,0.510,,,,
,2061,NO,0.950,0.797,,,,
,2062,NO,0.945,0.441,,,,
,2063,NO,0.946,0.444,,,,
,2064,NO,0.951,0.636,,,,
,2065,NO,0.945,0.494,,,,
,2066,NO,0.949,0.419,,,,
,2067,NO,0.950,0.399,,,,
,2068,NO,0.947,0.424,,,,
,2069,NO,0.946,0.502,,,,
,2070,NO,0.959,0.753,,,,
,2071,NO,0.949,0.582,,,,
,2072,NO,0.948,0.452,,,,
,2073,NO,0.957,0.348,,,,
,2074,NO,0.944,0.265,,,,
,2075,NO,0.950,0.320,,,,
,2076,NO,0.948,0.604,,,,
,2077,NO,0.947,0.667,,,,
,2078,NO,0.945,0.474,,,,
,2079,NO,0.946,0.443,,,,
,2080,NO,0.950,0.488,,,,
,2082,NO,0.947,0.421,,,,
,2083,NO,0.944,0.454,,,,
,2084,NO,0.943,0.264,,,,
,2085,NO,0.943,0.442,,,,
,2086,NO,0.941,0.430,,,,
,2087,NO,0.941,0.434,,,,
,2088,NO,0.939,0.326,,,,
,2089,NO,0.938,0.482,,,,
,2090,NO,0.938,0.339,,,,
,2091,NO,0.924,0.499,,,,
,2092,NO,0.911,0.374,,,,
,2093,NO,0.913,0.381,,,,
,2094,NO,0.919,0.330,,,,
,2095,NO,0.913,0.430,,,,
,2096,NO,0.917,0.326,,,,
,2097,NO,0.910,0.413,,,,
,2098,NO,0.911,0.464,,,,
,2099,NO,0.911,0.476,,,,
,2100,NO,0.912,0.322,,,,
,2101,NO,0.914,0.385,,,,
,2102,NO,0.915,0.479,,,,
,2103,NO,0.914,0.446,,,,
,2104,NO,0.913,0.454,,,,
,2105,NO,0.929,0.420,,,,
,2106,NO,0.919,0.406,,,,
,2107,NO,0.921,0.428,,,,
,2108,NO,0.914,0.281,,,,
,2109,NO,0.912,0.312,,,,
,2110,NO,0.917,0.399,,,,
,2111,NO,0.912,0.405,,,,
,2112,NO,0.932,0.534,,,,
,2113,NO,0.917,0.404,,,,
,2114,NO,0.921,0.271,,,,
,2115,NO,0.914,0.392,,,,
,2116,NO,0.915,0.371,,,,
,2117,NO,0.916,0.472,,,,
,2118,NO,0.918,0.367,,,,
,2119,NO,0.931,0.410,,,,
,2120,NO,0.924,0.404,,,,
,2122,NO,0.961,0.455,,,,
,2123,NO,0.959,0.565,,,,
,2124,NO,0.959,0.470,,,,
,2125,NO,0.958,0.499,,,,
,2126,NO,0.957,0.440,,,,
,2127,NO,0.956,0.576,,,,
,2128,NO,0.956,0.579,,,,
,2129,NO,0.956,0.510,,,,
,2130,NO,0.956,0.551,,,,
,2131,NO,0.931,0.373,,,,
,2132,NO,0.936,0.278,,,,
,2133,NO,0.931,0.295,,,,
,2134,NO,0.930,0.375,,,,
,2135,NO,0.929,0.356,,,,
,2136,NO,0.929,0.253,,,,
,2137,NO,0.929,0.408,,,,
,2138,NO,0.931,0.312,,,,
,2139,NO,0.932,0.457,,,,
,2140,NO,0.931,0.345,,,,
,2141,NO,0.928,0.362,,,,
,2142,NO,0.932,0.379,,,,
,2143,NO,0.933,0.280,,,,
,2144,NO,0.931,0.330,,,,
,2145,NO,0.932,0.304,,,,
,2146,NO,0.930,0.536,,,,
,2147,NO,0.933,0.327,,,,
,2148,NO,0.931,0.445,,,,
,2149,NO,0.932,0.393,,,,
,2150,NO,0.936,0.304,,,,
,2151,NO,0.941,0.456,,,,
,2152,NO,0.944,0.346,,,,
,2153,NO,0.933,0.225,,,,
,2154,NO,0.938,0.420,,,,
,2155,NO,0.938,0.333,,,,
,2156,NO,0.941,0.343,,,,
,2157,NO,0.936,0.378,,,,
,2158,NO,0.932,0.248,,,,
,2159,NO,0.930,0.338,,,,
,2160,NO,0.930,0.409,,,,
,2162,NO,0.972,0.340,,,,
,2163,NO,0.970,0.327,,,,
,2164,NO,0.970,0.440,,,,
,2165,NO,0.969,0.386,,,,
,2166,NO,0.969,0.430,,,,
,2167,NO,0.969,0.416,,,,
,2168,NO,0.969,0.468,,,,
,2169,NO,0.969,0.144,,,,
,2170,NO,0.969,0.410,,,,
,2171,NO,0.960,0.377,,,,
,2172,NO,0.958,0.348,,,,
,2173,NO,0.954,0.241,,,,
,2174,NO,0.957,0.418,,,,
,2175,NO,0.954,0.446,,,,
,2176,NO,0.956,0.364,,,,
,2177,NO,0.954,0.527,,,,
,2178,NO,0.956,0.402,,,,
,2179,NO,0.953,0.215,,,,
,2180,NO,0.954,0.276,,,,
,2181,NO,0.959,0.543,,,,
,2182,NO,0.956,0.468,,,,
,2183,NO,0.953,0.472,,,,
,2184,NO,0.954,0.381,,,,
,2185,NO,0.959,0.319,,,,
,2186,NO,0.957,0.321,,,,
,2187,NO,0.957,0.346,,,,
,2188,NO,0.959,0.378,,,,
,2189,NO,0.954,0.510,,,,
,2190,NO,0.953,0.276,,,,
,2191,NO,0.957,0.311,,,,
,2192,NO,0.955,0.373,,,,
,2193,NO,0.956,0.363,,,,
,2194,NO,0.956,0.324,,,,
,2195,NO,0.961,0.383,,,,
,2196,NO,0.961,0.373,,,,
,2197,NO,0.956,0.494,,,,
,2198,NO,0.955,0.369,,,,
,2199,NO,0.959,0.437,,,,
,2200,NO,0.957,0.534,,,,
,2202,NO,0.942,0.531,,,,
,2203,NO,0.940,0.483,,,,
,2204,NO,0.934,0.464,,,,
,2205,NO,0.933,0.564,,,,
,2206,NO,0.932,0.394,,,,
,2207,NO,0.932,0.544,,,,
,2208,NO,0.932,0.521,,,,
,2209,NO,0.932,0.519,,,,
,2210,NO,0.931,0.568,,,,
,2211,NO,0.896,0.480,,,,
,2212,NO,0.898,0.373,,,,
,2213,NO,0.892,0.715,,,,
,2214,NO,0.900,0.356,,,,
,2215,NO,0.892,0.373,,,,
,2216,NO,0.906,0.528,,,,
,2217,NO,0.893,0.506,,,,
,2218,NO,0.900,0.436,,,,
,2219,NO,0.895,0.513,,,,
,2220,NO,0.891,0.434,,,,
,2221,NO,0.892,0.455,,,,
,2222,NO,0.906,0.480,,,,
,2223,NO,0.892,0.432,,,,
,2224,NO,0.902,0.687,,,,
,2225,NO,0.898,0.552,,,,
,2226,NO,0.901,0.658,,,,
,2227,NO,0.895,0.565,,,,
,2228,NO,0.897,0.396,,,,
,2229,NO,0.894,0.526,,,,
,2230,NO,0.899,0.469,,,,
,2231,NO,0.894,0.415,,,,
,2232,NO,0.893,0.554,,,,
,2233,NO,0.894,0.543,,,,
,2234,NO,0.900,0.337,,,,
,2235,NO,0.898,0.615,,,,
,2236,NO,0.894,0.441,,,,
,2237,NO,0.893,0.703,,,,
,2238,NO,0.897,0.530,,,,
,2239,NO,0.893,0.572,,,,
,2240,NO,0.894,0.679,,,,
,2242,NO,0.969,0.439,,,,
,2243,NO,0.968,0.433,,,,
,2244,NO,0.968,0.312,,,,
,2245,NO,0.967,0.444,,,,
,2246,NO,0.967,0.456,,,,
,2247,NO,0.967,0.402,,,,
,2248,NO,0.966,0.298,,,,
,2249,NO,0.966,0.432,,,,
,2250,NO,0.966,0.395,,,,
,2251,NO,0.951,0.300,,,,
,2252,NO,0.955,0.471,,,,
,2253,NO,0.950,0.506,,,,
,2254,NO,0.949,0.394,,,,
,2255,NO,0.953,0.297,,,,
,2256,NO,0.949,0.422,,,,
,2257,NO,0.958,0.360,,,,
,2258,NO,0.948,0.325,,,,
,2259,NO,0.959,0.391,,,,
,2260,NO,0.951,0.397,,,,
,2261,NO,0.948,0.391,,,,
,2262,NO,0.954,0.501,,,,
,2263,NO,0.948,0.325,,,,
,2264,NO,0.953,0.368,,,,
,2265,NO,0.950,0.335,,,,
,2266,NO,0.951,0.419,,,,
,2267,NO,0.950,0.300,,,,
,2268,NO,0.949,0.374,,,,
,2269,NO,0.950,0.501,,,,
,2270,NO,0.949,0.463,,,,
,2271,NO,0.955,0.346,,,,
,2272,NO,0.948,0.221,,,,
,2273,NO,0.949,0.385,,,,
,2274,NO,0.953,0.444,,,,
,2275,NO,0.952,0.397,,,,
,2276,NO,0.952,0.361,,,,
,2277,NO,0.952,0.369,,,,
,2278,NO,0.950,0.471,,,,
,2279,NO,0.952,0.358,,,,
,2280,NO,0.948,0.443,,,,
,2282,NO,0.947,0.602,,,,
,2283,NO,0.944,0.625,,,,
,2284,NO,0.943,0.620,,,,
,2285,NO,0.942,0.628,,,,
,2286,NO,0.941,0.760,,,,
,2287,NO,0.940,0.518,,,,
,2288,NO,0.940,0.710,,,,
,2289,NO,0.939,0.600,,,,
,2290,NO,0.939,0.608,,,,
,2291,NO,0.893,0.384,,,,
,2292,NO,0.911,0.371,,,,
,2293,NO,0.905,0.572,,,,
,2294,NO,0.918,0.374,,,,
,2295,NO,0.906,0.509,,,,
,2296,NO,0.891,0.421,,,,
,2297,NO,0.898,0.200,,,,
,2298,NO,0.903,0.513,,,,
,2299,NO,0.897,0.618,,,,
,2300,NO,0.899,0.283,,,,
,2301,NO,0.899,0.443,,,,
,2302,NO,0.892,0.135,,,,
,2303,NO,0.901,0.276,,,,
,2304,NO,0.892,0.425,,,,
,2305,NO,0.898,0.605,,,,
,2306,NO,0.903,0.258,,,,
,2307,NO,0.903,0.459,,,,
,2308,NO,0.901,0.493,,,,
,2309,NO,0.898,0.466,,,,
,2310,NO,0.901,0.140,,,,
,2311,NO,0.895,0.507,,,,
,2312,NO,0.895,0.261,,,,
,2313,NO,0.900,0.417,,,,
,2314,NO,0.896,0.217,,,,
,2315,NO,0.909,0.510,,,,
,2316,NO,0.898,0.405,,,,
,2317,NO,0.892,0.313,,,,
,2318,NO,0.903,0.351,,,,
,2319,NO,0.893,0.510,,,,
,2320,NO,0.920,0.483,,,,
,2322,NO,0.962,0.241,,,,
,2323,NO,0.961,0.434,,,,
,2324,NO,0.958,0.538,,,,
,2325,NO,0.957,0.397,,,,
,2326,NO,0.957,0.314,,,,
,2327,NO,0.955,0.241,,,,
,2328,NO,0.955,0.370,,,,
,2329,NO,0.955,0.495,,,,
,2330,NO,0.955,0.412,,,,
,2331,NO,0.939,0.480,,,,
,2332,NO,0.939,0.326,,,,
,2333,NO,0.933,0.325,,,,
